Ano,UF,PIB_Per_Capita_UF_Mean
2010,Acre,8344.135909090908
2010,Alagoas,5980.695
2010,Amapá,10136.11875
2010,Amazonas,5788.65870967742
2010,Bahia,6989.947146282973
2010,Ceará,5384.548260869566
2010,Distrito Federal,56252.9
2010,Espírito Santo,19297.53384615385
2010,Goiás,15908.974065040651
2010,Maranhão,4545.537741935484
2010,Mato Grosso,16370.504751773049
2010,Mato Grosso do Sul,19915.600000000002
2010,Minas Gerais,11266.880785463072
2010,Paraná,15077.526892230577
2010,Paraíba,5565.353452914798
2010,Pará,7716.04027972028
2010,Pernambuco,6606.934486486487
2010,Piauí,4533.857901785715
2010,Rio Grande do Norte,7234.383892215569
2010,Rio Grande do Sul,19072.48362903226
2010,Rio de Janeiro,27848.926630434784
2010,Rondônia,11860.909423076924
2010,Roraima,9582.176666666666
2010,Santa Catarina,19597.270409556317
2010,Sergipe,11049.777066666667
2010,São Paulo,19402.109937984496
2010,Tocantins,9386.658992805756
2011,Acre,8839.503636363637
2011,Alagoas,6936.887352941177
2011,Amapá,11626.623125
2011,Amazonas,7854.230967741935
2011,Bahia,7591.91479616307
2011,Ceará,6224.606413043479
2011,Distrito Federal,59221.87
2011,Espírito Santo,27980.92653846154
2011,Goiás,17808.881707317076
2011,Maranhão,5293.010599078341
2011,Mato Grosso,21481.792269503545
2011,Mato Grosso do Sul,22288.55987179487
2011,Minas Gerais,13447.944818288393
2011,Paraná,17571.337819548873
2011,Paraíba,6178.115560538116
2011,Pará,9022.33986013986
2011,Pernambuco,7371.275837837838
2011,Piauí,5426.142187500001
2011,Rio Grande do Norte,8332.04389221557
2011,Rio Grande do Sul,21085.31431451613
2011,Rio de Janeiro,31800.74717391304
2011,Rondônia,13191.444807692307
2011,Roraima,10809.637333333334
2011,Santa Catarina,22224.133447098975
2011,Sergipe,11871.083466666667
2011,São Paulo,21173.057875968992
2011,Tocantins,10766.188705035971
2012,Acre,9767.011363636364
2012,Alagoas,7415.847450980392
2012,Amapá,13059.079375
2012,Amazonas,8190.655322580646
2012,Bahia,8478.852949640288
2012,Ceará,6334.636739130435
2012,Distrito Federal,61959.36
2012,Espírito Santo,32518.905256410253
2012,Goiás,20157.212113821137
2012,Maranhão,6038.415391705069
2012,Mato Grosso,25324.73425531915
2012,Mato Grosso do Sul,24456.16217948718
2012,Minas Gerais,14827.296436107854
2012,Paraná,19601.325238095236
2012,Paraíba,6753.348385650224
2012,Pará,9500.052167832167
2012,Pernambuco,8266.456594594594
2012,Piauí,5895.593169642858
2012,Rio Grande do Norte,9339.368562874251
2012,Rio Grande do Sul,21349.91558467742
2012,Rio de Janeiro,35136.91195652174
2012,Rondônia,14850.154807692308
2012,Roraima,11307.599333333334
2012,Santa Catarina,24033.031843003413
2012,Sergipe,13120.903066666666
2012,São Paulo,23196.49203100775
2012,Tocantins,11947.819424460431
2013,Acre,11450.978636363636
2013,Alagoas,7931.147745098038
2013,Amapá,14947.82875
2013,Amazonas,8975.314193548387
2013,Bahia,8814.840647482013
2013,Ceará,7157.3596739130435
2013,Distrito Federal,63054.41
2013,Espírito Santo,30481.91653846154
2013,Goiás,21513.07207317073
2013,Maranhão,7268.155161290322
2013,Mato Grosso,27208.588297872342
2013,Mato Grosso do Sul,27466.87860759494
2013,Minas Gerais,15296.966834701056
2013,Paraná,23087.220726817042
2013,Paraíba,7452.911255605381
2013,Pará,11151.731666666667
2013,Pernambuco,8710.865027027026
2013,Piauí,6211.791651785715
2013,Rio Grande do Norte,9787.977185628743
2013,Rio Grande do Sul,26841.392716297785
2013,Rio de Janeiro,36712.39141304348
2013,Rondônia,14604.197307692308
2013,Roraima,13278.508
2013,Santa Catarina,27011.340813559324
2013,Sergipe,13301.309333333333
2013,São Paulo,24827.140542635658
2013,Tocantins,13446.687913669064
2014,Acre,12588.272272727272
2014,Alagoas,8597.365294117648
2014,Amapá,14764.64125
2014,Amazonas,9416.35064516129
2014,Bahia,9604.036378896883
2014,Ceará,8530.295869565218
2014,Distrito Federal,69216.8
2014,Espírito Santo,33484.54435897436
2014,Goiás,22267.490162601625
2014,Maranhão,7811.745622119816
2014,Mato Grosso,29820.166666666668
2014,Mato Grosso do Sul,30558.892405063292
2014,Minas Gerais,16195.237268464245
2014,Paraná,23935.092882205514
2014,Paraíba,8283.032914798207
2014,Pará,11400.076458333333
2014,Pernambuco,9699.125837837839
2014,Piauí,7526.114285714286
2014,Rio Grande do Norte,10672.531796407186
2014,Rio Grande do Sul,28279.73024144869
2014,Rio de Janeiro,38287.76902173913
2014,Rondônia,15857.446346153845
2014,Roraima,13570.622
2014,Santa Catarina,28087.642813559323
2014,Sergipe,13924.010400000001
2014,São Paulo,27749.13268217054
2014,Tocantins,14621.403956834532
2015,Acre,12887.914090909091
2015,Alagoas,9637.572450980393
2015,Amapá,16039.2775
2015,Amazonas,9671.050483870968
2015,Bahia,10726.951606714629
2015,Ceará,8844.048532608695
2015,Distrito Federal,73970.99
2015,Espírito Santo,27601.92076923077
2015,Goiás,23930.014024390246
2015,Maranhão,8193.781797235022
2015,Mato Grosso,31206.953191489363
2015,Mato Grosso do Sul,32491.68544303797
2015,Minas Gerais,16425.13103165299
2015,Paraná,26046.95245614035
2015,Paraíba,8892.940807174888
2015,Pará,12515.530972222223
2015,Pernambuco,10162.70091891892
2015,Piauí,8037.804821428572
2015,Rio Grande do Norte,11357.643532934131
2015,Rio Grande do Sul,30934.940442655938
2015,Rio de Janeiro,34164.44619565217
2015,Rondônia,16845.555192307693
2015,Roraima,14708.009333333333
2015,Santa Catarina,28646.15996610169
2015,Sergipe,13587.255066666667
2015,São Paulo,29887.31893023256
2015,Tocantins,15541.477913669067
2016,Acre,13696.683181818184
2016,Alagoas,11188.969215686275
2016,Amapá,16830.72375
2016,Amazonas,9664.777580645161
2016,Bahia,11139.89350119904
2016,Ceará,9464.917826086956
2016,Distrito Federal,79114.19
2016,Espírito Santo,21225.208846153848
2016,Goiás,26426.97918699187
2016,Maranhão,8764.456405529954
2016,Mato Grosso,36382.28092198582
2016,Mato Grosso do Sul,37013.832151898736
2016,Minas Gerais,18009.606201641265
2016,Paraná,29181.560451127818
2016,Paraíba,9491.392959641254
2016,Pará,13441.194861111111
2016,Pernambuco,11130.258594594596
2016,Piauí,8158.750089285714
2016,Rio Grande do Norte,12035.646586826348
2016,Rio Grande do Sul,33821.501851106645
2016,Rio de Janeiro,30952.26706521739
2016,Rondônia,18359.096538461537
2016,Roraima,15798.099333333334
2016,Santa Catarina,30651.02111864407
2016,Sergipe,12882.467733333333
2016,São Paulo,30923.2663875969
2016,Tocantins,16477.289136690648
2017,Acre,13956.214090909092
2017,Alagoas,12733.476372549021
2017,Amapá,18559.93625
2017,Amazonas,10090.680806451612
2017,Bahia,11319.772350119905
2017,Ceará,10654.40625
2017,Distrito Federal,80515.47
2017,Espírito Santo,23689.344999999998
2017,Goiás,27376.159024390243
2017,Maranhão,9520.569769585252
2017,Mato Grosso,36103.340070921986
2017,Mato Grosso do Sul,37694.862278481014
2017,Minas Gerais,18825.474396248534
2017,Paraná,30288.9265914787
2017,Paraíba,10017.713901345292
2017,Pará,15712.043749999999
2017,Pernambuco,12171.720432432432
2017,Piauí,9978.476205357143
2017,Rio Grande do Norte,13802.26508982036
2017,Rio Grande do Sul,33895.83068410463
2017,Rio de Janeiro,32728.56402173913
2017,Rondônia,20246.616346153845
2017,Roraima,17022.516666666666
2017,Santa Catarina,32051.094983050847
2017,Sergipe,13768.6316
2017,São Paulo,32827.37862015504
2017,Tocantins,18078.410503597122
2018,Acre,13846.877727272727
2018,Alagoas,13414.801862745098
2018,Amapá,18796.7725
2018,Amazonas,10992.52306451613
2018,Bahia,12761.127386091128
2018,Ceará,10929.575869565217
2018,Distrito Federal,85661.39
2018,Espírito Santo,29968.78538461539
2018,Goiás,28260.447642276424
2018,Maranhão,10228.230230414747
2018,Mato Grosso,38239.84744680851
2018,Mato Grosso do Sul,42717.7982278481
2018,Minas Gerais,19993.182321219225
2018,Paraná,32248.15506265664
2018,Paraíba,10562.561479820628
2018,Pará,16905.37736111111
2018,Pernambuco,12620.83037837838
2018,Piauí,11167.43142857143
2018,Rio Grande do Norte,14807.368143712574
2018,Rio Grande do Sul,37783.907927565386
2018,Rio de Janeiro,37414.85532608696
2018,Rondônia,22405.380961538463
2018,Roraima,17192.096666666668
2018,Santa Catarina,33576.83081355932
2018,Sergipe,13861.9248
2018,São Paulo,32876.518697674415
2018,Tocantins,18966.75525179856
2019,Acre,13784.10590909091
2019,Alagoas,14556.663725490196
2019,Amapá,18868.091875
2019,Amazonas,11650.177903225807
2019,Bahia,13200.509016786571
2019,Ceará,11617.09152173913
2019,Distrito Federal,90742.75
2019,Espírito Santo,29504.870384615388
2019,Goiás,30053.613089430895
2019,Maranhão,10271.99866359447
2019,Mato Grosso,39496.72191489362
2019,Mato Grosso do Sul,41463.97151898734
2019,Minas Gerais,21400.022391559203
2019,Paraná,32459.53789473684
2019,Paraíba,10953.086950672647
2019,Pará,18089.043055555558
2019,Pernambuco,13447.349945945947
2019,Piauí,11626.451116071428
2019,Rio Grande do Norte,16052.209640718562
2019,Rio Grande do Sul,39623.28219315896
2019,Rio de Janeiro,40063.260652173914
2019,Rondônia,22967.76923076923
2019,Roraima,18128.974
2019,Santa Catarina,36228.96559322034
2019,Sergipe,15273.394666666667
2019,São Paulo,34568.563116279074
2019,Tocantins,20793.99928057554
2020,Acre,14380.386818181818
2020,Alagoas,16850.66245098039
2020,Amapá,20283.941875
2020,Amazonas,12091.832741935485
2020,Bahia,14720.208633093525
2020,Ceará,12531.2975
2020,Distrito Federal,87016.16
2020,Espírito Santo,27542.75974358974
2020,Goiás,33844.12134146341
2020,Maranhão,12462.313502304147
2020,Mato Grosso,54188.09858156028
2020,Mato Grosso do Sul,50453.774303797465
2020,Minas Gerais,23704.499085580304
2020,Paraná,38890.89709273183
2020,Paraíba,11697.432645739911
2020,Pará,22180.030347222222
2020,Pernambuco,13585.922054054054
2020,Piauí,13502.639598214286
2020,Rio Grande do Norte,17177.575449101798
2020,Rio Grande do Sul,40273.67967806841
2020,Rio de Janeiro,40442.78239130435
2020,Rondônia,25282.542884615385
2020,Roraima,20750.030000000002
2020,Santa Catarina,40408.37718644067
2020,Sergipe,16222.432933333333
2020,São Paulo,38150.30637209302
2020,Tocantins,25563.35
2021,Acre,21856.56590909091
2021,Alagoas,20479.479705882353
2021,Amapá,21232.280625
2021,Amazonas,13886.720645161291
2021,Bahia,17121.082086330935
2021,Ceará,14388.405326086957
2021,Distrito Federal,92732.27
2021,Espírito Santo,38693.5517948718
2021,Goiás,41435.26918699187
2021,Maranhão,15084.364331797235
2021,Mato Grosso,74900.3615602837
2021,Mato Grosso do Sul,56857.08708860759
2021,Minas Gerais,30731.424044548654
2021,Paraná,43081.39468671679
2021,Paraíba,13090.917533632286
2021,Pará,28067.05215277778
2021,Pernambuco,15401.282162162162
2021,Piauí,15524.393526785714
2021,Rio Grande do Norte,19901.114071856286
2021,Rio Grande do Sul,57487.875412474845
2021,Rio de Janeiro,55502.33826086957
2021,Rondônia,32001.799230769233
2021,Roraima,22928.893999999997
2021,Santa Catarina,48566.16484745763
2021,Sergipe,18745.794133333333
2021,São Paulo,42570.214108527136
2021,Tocantins,32984.25517985611
